Text_name,file_name,text_type,grade_level,standards,total_words,UWD,UWD_div_total,number_sentences,avg_SL,DESC_div_total,SCONJ_div_total,ADP_div_total,max_arrow_length,avg_arrow_length
"“The Highwayman,” by Alfred Noyes",Highwayman.txt,poetry,9,ALB,1029,376,0.3654,61,16.8688,0.08649173955,0.01652089407,0.1428571429,47,3.2317
“Upon a Spider Catching a Fly” by Edward Taylor,Spider_catch.txt,poetry,11,CCS,194,149,0.768,11,17.6363,0.118556701,0.03092783505,0.09793814433,26,3.2419
"“Where Are You Going, Where Have You Been?” by Joyce Carol Oates",Where_going.txt,prose,11,CCS,6902,1400,0.2028,453,15.2362,0.1261953057,0.03042596349,0.1038829325,95,3.2454
“The Indian Burying Ground” by Philip Freneau,Indian_burial.txt,poetry,11,CCS,250,173,0.692,13,19.2307,0.136,0.02,0.076,29,3.2485
"“Casey at Bat,” by Ernest Lawrence Thayer",Casey_bat.txt,poetry,9,ALB,579,302,0.5215,24,24.125,0.1070811744,0.02936096718,0.1001727116,43,3.249
"“The Ones Who Walk Away from Omelas,” by Ursula K. LeGuin",Omelas.txt,prose,11,ALB,2826,1028,0.3637,164,17.2317,0.1450813871,0.02300070771,0.11712668082,61,3.2491
“The Black Cat” by Edgar Allan Poe,Black_cat.txt,prose,9,CCS,3934,1305,0.3317,190,20.7052,0.1370106762,0.02643619725,0.1352313167,60,3.251
"“London, 1802” by William Wordsworth",London_1802.txt,poetry,12,CCS,108,93,0.8611,6,18,0.1759259259,0,0.1203703704,48,3.2751
"“A Consecration,” by Tom Dawe",Consecration.txt,poetry,10,ALB,117,85,0.7264,5,23.4,0.1025641026,0.04273504274,0.08547008547,37,3.2847
“The Nose” by Nikolai Gogol,Nose.txt,prose,10,CCS,9097,2000,0.2198,504,18.0496,0.1219083214,0.02902055623,0.1139936243,64,3.2854
“Harlem” by Langston Hughes,Harlem.txt,poetry,11,CCS,51,37,0.7254,5,10.2,0.137254902,0,0.1764705882,21,3.2857
"“The Lady of Shalott” by Alfred, Lord Tennyson",Lady_shalott.txt,poetry,9,CCS,992,496,0.5,48,20.6666,0.125,0.01713709677,0.1360887097,41,3.2862
“To Urania” by Joseph Brodsky,Urania.txt,poetry,10,CCS,158,128,0.8101,10,15.8,0.1582278481,0.0253164557,0.08860759494,44,3.2864
“In the Dordogne” by John Peale Bishop,In_dordogne.txt,poetry,11,CCS,310,168,0.5419,10,31,0.08709677419,0.02580645161,0.1548387097,46,3.2886
“The Nun’s Priest’s Tale” by Geoffrey Chaucer,Nuns_priest.txt,poetry,12,CCS,5106,1629,0.319,261,19.5632,0.1157461810,0.02820211516,0.09831570701,98,3.2901
"“Click Clack the Rattlebag,” by Neil Gaiman",Click_clack.txt,prose,9,ALB,1398,455,0.3254,126,11.0952,0.1337625179,0.02789699571,0.09442060086,66,3.3066
“The Twelve” by Aleksandr Blok,Twelve.txt,poetry,10,CCS,1743,763,0.4377,160,10.8937,0.1583476764,0.01032702238,0.09638554217,129,3.3077
"“The Cremation of Sam McGee,” Robert W. Service",Cremation_sam.txt,poetry,9,ALB,885,393,0.444,34,26.0294,0.1129943503,0.02711864407,0.08813559322,40,3.3087
“Home” by Anton Chekhov,Home.txt,prose,10,CCS,3616,1118,0.3091,244,14.8196,0.125,0.02074115044,0.1117256637,76,3.3139
Open Closed Open: Poems by Yehuda Amichai (selections),Open_closed.txt,poetry,10,CCS,830,374,0.4506,47,17.6595,0.1397590361,0.01445783133,0.1409638554,45,3.3173
“A Rose for Emily” by William Faulkner,Rose_emily.txt,prose,11,CCS,3710,1111,0.2994,195,19.0256,0.1185983827,0.03153638814,0.1148247978,142,3.3243
“The Wasteland” by T. S. Eliot,Waste_land.txt,poetry,12,CCS,3005,1270,0.4226,184,16.3315,0.10815307820,0.01830282862,0.10948419301,97,3.3259
"“Same Love,” by Macklemore and Ryan Lewis",Same_love.txt,poetry,11,ALB,677,296,0.4372,27,25.074,0.11816839,0.03101920236,0.0753323486,71,3.334
“Micromégas” by Voltaire,Micromegas.txt,prose,12,CCS,7017,1769,0.2521,353,19.8781,0.121561921,0.02964229728,0.1189967222,80,3.3442
“Chronicle of a Death Foretold” by Gabriel García Márquez,Chronicle_death.txt,prose,10,CCS,5432,1406,0.2588,243,22.3539,0.09628129602,0.03092783505,0.1308910162,68,3.3506
“The Wife of Bath’s Tale” by Geoffrey Chaucer,Wife_bath.txt,poetry,12,CCS,3569,1141,0.3196,184,19.3967,0.1216026898,0.03138133931,0.08966096946,66,3.3616
"“Make Good Art,” by Neil Gaiman",Make_art.txt,prose,9,ALB,2916,773,0.2651,164,17.7804,0.1224279835,0.03909465021,0.08641975309,91,3.3641
“This is my letter to the World” by Emily Dickinson,Letter_world.txt,poetry,11,CCS,41,36,0.878,1,41,0.1219512195,0,0.1707317073,39,3.3818
“The Head-Gardener’s Story” by Anton Chekhov,Head_gardener.txt,prose,10,CCS,1918,747,0.3894,96,19.9791,0.1136600626,0.02502606882,0.1047966632,57,3.3927
“The Steppe” by Anton Chekhov,Steppe.txt,prose,10,CCS,11354,2445,0.2153,605,18.7669,0.119429276,0.02536550995,0.1256825788,93,3.3966
"“I Was a Teenage Space Jockey,” by Stephen Graham Jones",Teenage_space.txt,prose,10,ALB,4575,1224,0.2675,233,19.6351,0.1309289617,0.02513661202,0.1066666667,150,3.4031
“The Ballad of Reading Gaol” by Oscar Wilde,Ballad_gaol.txt,poetry,12,CCS,4103,1246,0.3036,159,25.805,0.1133317085,0.02680965147,0.1033390202,61,3.4207
"“Law, Like Love,” by W.H. Auden",Law_love.txt,poetry,11,ALB,325,186,0.5723,11,29.5454,0.1661538462,0.04,0.07076923077,102,3.4236
“The World is too Much with Us” by William Wordsworth,World_too_much.txt,poetry,12,CCS,118,99,0.8389,4,29.5,0.1271186441,0,0.1101694915,50,3.4258
“Ward No. 6” by Anton Chekhov,Ward_6.txt,prose,10,CCS,21518,4660,0.2165,1133,19.3551,0.11818013,0.02490938,0.12152616,90,3.4327
“The Pardoner’s Tale” by Geoffrey Chaucer,Pardoners_tale.txt,poetry,12,CCS,2846,900,0.3162,141,20.1843,0.1349262122,0.04181307098,0.09416725228,60,3.4362
"“The Times They Are a’Changin’,” by Bob Dylan",Times_changin.txt,poetry,11,ALB,251,136,0.5418,9,27.8888,0.1274900398,0.02788844622,0.08366533865,69,3.4367
“Homecoming” by Julia Alvarez,Homecoming.txt,poetry,9,CCS,287,191,0.6655,15,19.1333,0.1010452962,0.01742160279,0.118466899,51,3.4464
"“Wednesday,” by Marvin Bell",Wednesday.txt,poetry,12,ALB,309,193,0.6245,9,34.3333,0.1035598706,0.03236245955,0.1715210356,31,3.4481
“Richard Cory” by E.A. Robinson,Rich_cory.txt,poetry,11,CCS,124,86,0.6935,5,24.8,0.1209677419,0.0564516129,0.08870967742,31,3.4545
Sonnet 146 by William Shakespeare,Sonnet_146.txt,poetry,12,CCS,113,87,0.7699,6,18.8333,0.1946902655,0.03539823009,0.09734513274,30,3.4635
“The Minister’s Black Veil” by Nathaniel Hawthorne,Minister_veil.txt,prose,9,CCS,5128,1557,0.3036,221,23.2036,0.1464508580,0.03451638066,0.1195397816,61,3.4673
“The Day of Doom” by Michael Wigglesworth,Day_doom.txt,poetry,11,CCS,9991,2457,0.2459,626,15.96,0.1295165649,0.0275247723,0.08797918126,75,3.4734
“The Second Coming” by William Butler Yeats,Second_coming.txt,poetry,12,CCS,167,121,0.7245,6,27.8333,0.1198,0.0240,0.1198,49,3.4809
"“Paul’s Case,” by Willa Cather",Pauls_case.txt,prose,12,ALB,8282,2168,0.2617,314,26.3757,0.1271432021,0.02765032601,0.1291958464,71,3.5005
“Counter-Attack” by Siegfried Sassoon,Counter_attack.txt,poetry,12,CCS,309,215,0.6957,17,18.1764,0.1359223301,0.01618122977,0.1262135922,38,3.507
"“Adam’s Song,” by Blink 182",Adams_song.txt,poetry,11,ALB,271,114,0.4206,4,67.75,0.1881918819,0.0221402214,0.06273062731,89,3.5159
“Rappaccini’s Daughter” by Nathaniel Hawthorne,Rappaccini.txt,prose,11,CCS,10713,2459,0.2295,490,21.8632,0.1410435919,0.02762998226,0.130589004,85,3.5252
“When the leaf sings” by Arnaut Daniel,When_leaf.txt,poetry,12,CCS,227,139,0.6123,7,32.4285,0.1145374449,0.06607929515,0.06607929515,28,3.5339
Strange Tales from a Chinese Studio by Pu Songling,Stories_studio.txt,prose,10,CCS,11062,2275,0.2056,480,23.0458,0.1193274272,0.02910866028,0.1222202133,69,3.5531
“The Knight’s Tale” by Geoffrey Chaucer,Knights_tale.txt,poetry,12,CCS,11610,2229,0.1919,581,19.9827,0.1260120586,0.03729543497,0.1097329888,141,3.5587
“Mother to Son” by Langston Hughes,Mother_son.txt,poetry,11,CCS,94,62,0.6595,6,15.6666,0.09574468085,0.02127659574,0.1063829787,35,3.5612
"“The Masque of the Red Death,” by Edgar Allan Poe",Masque_red.txt,prose,11,ALB,2462,888,0.3606,106,23.2264,0.1401299756,0.0239642567,0.1348497157,122,3.5731
“What Stumped the Bluejays” by Mark Twain,Stumped_blue.txt,prose,11,CCS,2087,633,0.3033,98,21.2959,0.1394345951,0.01964542405,0.1011020604,86,3.5733
“Love Is” by Nikki Giovanni,Love_is.txt,poetry,9,CCS,57,40,0.7017,1,57,0.1754385965,0.08771929825,0.01754385965,32,3.5733
Flowers of Evil by Charles Baudelaire,Flowers_evil.txt,poetry,12,CCS,7785,2570,0.3301,340,22.8971,0.1315350032,0.02235067437,0.1197174053,86,3.5738
“Ode on Indolence” by John Keats,Ode_indolence.txt,poetry,12,CCS,473,273,0.5771,26,18.1923,0.1437632135,0.03171247357,0.1014799154,65,3.5948
“Young Goodman Brown” by Nathaniel Hawthorne,Young_goodman.txt,prose,11,CCS,5247,1554,0.2961,244,21.5041,0.138555365,0.02839717934,0.1229273871,62,3.5961
"“Young Goodman Brown,” by Nathaniel Hawthorne",Young_goodman.txt,prose,12,ALB,5247,1554,0.2961,244,21.5041,0.138555365,0.02839717934,0.1229273871,62,3.5961
“Birches” by Robert Frost,Birches.txt,poetry,11,CCS,510,287,0.5627,20,25.5,0.1254901961,0.03137254902,0.1137254902,58,3.5987
“The Duel” by Anton Chekhov,Duel.txt,prose,10,CCS,11239,2481,0.2207,606,18.5462,0.1202953999,0.02873921167,0.118693834,92,3.6079
"“Hanging Fire,” by Audre Lorde",Hanging_fire.txt,poetry,9,ALB,162,96,0.5925,3,54,0.0987654321,0.03703703704,0.1049382716,56,3.6089
“A High-Toned Old Christian Woman” by Wallace Stevens,High_toned.txt,poetry,11,CCS,152,109,0.7171,12,12.6666,0.1184210526,0.02631578947,0.125,68,3.6208
"“The Writer,” by Richard Wilbur",Writer.txt,poetry,10,ALB,249,163,0.6546,9,27.6666,0.1204819277,0.04016064257,0.1124497992,42,3.6246
"“In School-days,” by John Greenleaf Whittier",School_days.txt,poetry,12,ALB,258,191,0.7403,12,21.5,0.1395348837,0.03488372093,0.08914728682,59,3.6328
"“A Wagner Matinee,” by Willa Cather ",Wagner_matinee.txt,prose,10,ALB,3332,1251,0.3754,111,30.01801,0.1182472989,0.02731092437,0.1431572629,74,3.6352
"“Edge of Revolution,” by Nickleback",Edge_rev.txt,poetry,11,ALB,452,111,0.2455,24,18.8333,0.08407079646,0.01769911504,0.09734513274,79,3.6366
"“The Price,” by Neil Gaiman",Price.txt,prose,10,ALB,2432,822,0.3379,110,22.109,0.1254111842,0.01768092105,0.1155427632,102,3.6593
“A & P” by John Updike,AP.txt,prose,11,CCS,2843,934,0.3285,126,22.5634,0.1220541681,0.02321491382,0.1153710869,95,3.6816
“Four Quartets” by T. S. Eliot,Four_quartets.txt,poetry,12,CCS,6726,2047,0.3043,281,23.9359,0.111210229,0.01903062742,0.1268212905,101,3.6904
“Dance of Death” by Charles Baudelaire,Dance_dead.txt,poetry,12,CCS,465,316,0.6795,18,25.8333,0.1268817204,0.01935483871,0.1333333333,50,3.6998
“In Trackless Woods” by Richard Wilbur,Trackless_woods.txt,poetry,9,CCS,108,85,0.787,4,27,0.1388888889,0.03703703704,0.09259259259,40,3.7037
“Letter to a Young Lady in Paris”by Julio Cortázar,Letter_paris.txt,prose,10,CCS,3668,1123,0.3061,126,29.1111,0.1322246456,0.03217011996,0.1324972737,142,3.7177
“Rip Van Winkle” by Washington Irving,Rip_van.txt,prose,11,CCS,7291,2060,0.2825,256,28.4804,0.1289260732,0.02180770813,0.1331778905,83,3.7281
“Because I could not stop for Death” by Emily Dickinson,Stop_death.txt,poetry,11,CCS,127,95,0.748,3,42.3333,0.1102362205,0.02362204724,0.09448818898,91,3.7471
"“Shake the Dust,” by Anis Mojgani",Shake_dust.txt,poetry,11,ALB,660,308,0.4666,8,82.5,0.07878787879,0.02575757576,0.1409090909,95,3.781
“The Overcoat” by Nikolai Gogol,Overcoat.txt,prose,9,CCS,11370,2391,0.2102,439,25.8997,0.1267370273,0.03764291996,0.1240105541,296,3.7893
"“Haunted Houses,” by Henry Wadsworth Longfellow",Haunted_houses.txt,poetry,11,ALB,294,203,0.6904,10,29.4,0.119047619,0.01020408163,0.1496598639,37,3.7914
"“Take a Minute,” by K’Naan",Take_minute.txt,poetry,11,ALB,597,187,0.3132,8,74.625,0.1038525963,0.01675041876,0.04522613065,97,3.8086
“Elegy Written in A Country Churchyard” by Thomas Gray,Elegy.txt,poetry,9,CCS,944,581,0.6154,37,25.5135,0.125,0.01483050847,0.1165254237,72,3.8117
"“In Which I Do Not Fear Harvey Dent,” Brenna Twohy",Harvey_dent.txt,poetry,11,ALB,530,234,0.4415,13,40.7692,0.1132075472,0.05849056604,0.08867924528,77,3.8172
"“Lose Yourself,” by Eminem",Lose_yourself.txt,poetry,11,ALB,813,334,0.4108,18,45.1666,0.12300123,0.009840098401,0.07134071341,85,3.8451
"“The Raven,” by Edgar Allen Poe",Raven.txt,poetry,10,ALB,1076,477,0.4433,38,28.3157,0.1459107807,0.02695167286,0.09293680297,63,3.8614
“The Raven” by Edgar Allan Poe,Raven.txt,poetry,11,CCS,1076,477,0.4433,38,28.3157,0.1459107807,0.02695167286,0.09293680297,63,3.8614
“The Monk’s Tale” by Geoffrey Chaucer,Monks_tale.txt,poetry,12,CCS,6957,1818,0.2613,272,25.5772,0.1072301279,0.04139715395,0.1083800489,78,3.8626
The Surprising Adventures of Baron Munchhausen by Rudolf Erich Raspe,Surprising_adventures.txt,prose,12,CCS,11141,2433,0.2183,304,36.648,0.1200969392,0.03249259492,0.1365227538,131,3.8959
“On a Gate-tower at Yuzhou” by Chen Zi’ang,On_gate.txt,poetry,10,CCS,37,30,0.8108,2,18.5,0.05405405405,0.05405405405,0.1621621622,23,3.9
“To Daffodils” by Robert Herrick,Daffodils.txt,poetry,12,CCS,93,69,0.7419,4,23.25,0.1505376344,0.03225806452,0.09677419355,34,3.9136
Sonnet 128 by William Shakespeare,Sonnet_128.txt,poetry,12,CCS,107,83,0.7757,3,35.6666,0.1214953271,0.06542056075,0.07476635514,38,3.9142
“Can We Autocorrect Humanity?” by Prince Ea,Autocorrect.txt,poetry,9,ALB,461,279,0.6052,13,35.4615,0.125813449,0.01952277657,0.09761388286,135,3.9184
"“Troll,” by Shane Koyczan",Troll.txt,poetry,10,ALB,679,353,0.5198,8,84.875,0.07511045655,0.0441826215,0.1266568483,172,3.9492
“A Lemon” by Pablo Neruda,Lemon.txt,poetry,9,CCS,164,106,0.6463,5,32.8,0.1341463415,0.006097560976,0.1341463415,58,3.9561
“To His Coy Mistress” by Andrew Marvell,Coy_mistress.txt,poetry,12,CCS,303,210,0.6931,11,27.5454,0.102310231,0.0198019802,0.1056105611,44,3.9627
“Yet Do I Marvel” by Countee Cullen,Yet_marvel.txt,poetry,11,CCS,102,91,0.8921,3,34,0.1960784314,0.02941176471,0.06862745098,73,3.9689
“The Legend of Sleepy Hollow” by Washington Irving,Legend_sleepy.txt,prose,11,CCS,11217,3101,0.2764,320,35.0531,0.1343496479,0.02077204244,0.1489703129,114,3.9721
"“I see scarlet, green, blue, white, yellow” by Arnaut Daniel",I_see_scarlet.txt,poetry,12,CCS,371,211,0.5687,9,41.2222,0.1374663073,0.06199460916,0.08086253369,66,3.9752
“The Ruin” in The Exeter Book,Ruin.txt,poetry,12,CCS,348,229,0.658,13,26.7692,0.1551724138,0.04022988506,0.09482758621,66,3.9854
“A Song of Ch’ang-kan” by Li Po,Chang_kan.txt,poetry,10,CCS,270,181,0.6703,13,20.7692,0.1185185185,0.03703703704,0.1259259259,43,4.0056
“The Wanderer” in The Exeter Book ,Wanderer.txt,poetry,12,CCS,964,527,0.5466,47,20.5106,0.1690871369,0.03630705394,0.09024896266,82,4.0136
“The Nightingale of Wittenberg” by Hans Sachs,Nightingale.txt,poetry,12,CCS,313,198,0.6325,11,28.4545,0.1501597444,0.01916932907,0.09265175719,79,4.0243
"“I Wandered Lonely as a Cloud,” by William Wordsworth",Wandered_cloud.txt,poetry,9,ALB,154,111,0.7207,4,38.5,0.1103896104,0.01948051948,0.1623376623,50,4.0246
“I wandered lonely as a cloud” by William Wordsworth,Wandered_cloud.txt,poetry,9,CCS,154,111,0.7207,4,38.5,0.1103896104,0.01948051948,0.1623376623,50,4.0246
“Holy Sonnet 10” by John Donne,Holy_10.txt,poetry,12,CCS,117,88,0.7521,4,29.25,0.188034188,0.01709401709,0.07692307692,43,4.0306
“The Fall of the House of Usher” by Edgar Allan Poe,Fall_usher.txt,prose,11,CCS,7177,2092,0.2914,244,29.4139,0.1573080674,0.03023547443,0.1428173331,175,4.0553
In Memorium A. H. H by Alfred Lord Tennyson,In_memorium.txt,poetry,12,CCS,3769,1313,0.3483,123,30.6422,0.1236402229,0.02440965773,0.1087821703,140,4.0924
“The Reader” by Richard Wilbur,Reader.txt,poetry,9,CCS,224,155,0.6919,6,37.3333,0.1696428571,0.03125,0.1294642857,77,4.1103
"“Song: Goe, and catche a falling starre” by John Donne",Goe_catch.txt,poetry,12,CCS,146,116,0.7945,3,48.6666,0.1095890411,0.06849315068,0.04109589041,50,4.1213
"“At the Gym,” by Mark Dotty",At_the_gym.txt,poetry,10,ALB,139,100,0.7194,4,34.75,0.09352517986,0.03597122302,0.1223021583,54,4.1237
“The Road Not Taken” by Robert Frost,Road_less.txt,poetry,11,CCS,144,98,0.6805,4,36,0.1527777778,0.04861111111,0.1041666667,99,4.1491
“The Road Not Taken” by Robert Frost,Road_less.txt,poetry,12,ALB,144,98,0.6805,4,36,0.1527777778,0.04861111111,0.1041666667,99,4.1491
“The Old Huntsman” by Siegfried Sassoon,Old_huntsman.txt,poetry,12,CCS,1664,742,0.4459,71,23.4366,0.1165865385,0.02824519231,0.1045673077,88,4.1729
“The bitter air” by Arnaut Daniel,Bitter_air.txt,poetry,12,CCS,422,237,0.5616,10,42.2,0.1587677725,0.04028436019,0.09478672986,79,4.2244
"“The Day the Saucers Came,” by Neil Gaiman",Day_saucers.txt,poetry,10,ALB,343,195,0.5685,5,68.6,0.08163265306,0.03206997085,0.09329446064,97,4.2252
“The Deserted Village” by Oliver Goldsmith,Deserted_village.txt,poetry,12,CCS,3319,1417,0.4269,95,34.9368,0.1446218741,0.02982826152,0.08436275987,152,4.2287
"“Love is Not All,” by Edna St. Vincent Millay",Love_notall.txt,poetry,9,ALB,125,84,0.672,4,31.25,0.08,0.016,0.112,49,4.2402
Childe Harold’s Pilgrimage by George Gordon,Childe_pilgr.txt,poetry,12,CCS,218,148,0.6788,4,54.5,0.09174311927,0.01834862385,0.1330275229,56,4.2456
“The Celebrated Jumping Frog of Calaveras County” by Mark Twain,Celebrated_frog.txt,prose,11,CCS,2600,722,0.2776,79,32.9113,0.1134615385,0.03730769231,0.09807692308,87,4.2537
“Poetry” by Marianne Moore,Poetry.txt,poetry,9,CCS,261,156,0.5977,6,43.5,0.1149,0.0460,0.1073,68,4.2559
"“Ulysses,” by Alfred Lord Tennyson",Ulysses.txt,poetry,12,ALB,561,340,0.6061,16,35.0625,0.137254902,0.01782531194,0.09090909091,63,4.2757
"“Sonnet 18,” by William Shakespeare",Sonnet_18.txt,poetry,9,ALB,109,81,0.7431,4,27.25,0.2018348624,0.01834862385,0.09174311927,37,4.2965
“Love Among the Ruins” by Robert Browning,Love_among.txt,poetry,12,CCS,464,305,0.6573,18,25.7777,0.1120689655,0.03448275862,0.09913793103,72,4.3082
“The Underground” by Seamus Heaney,Underground.txt,poetry,9,CCS,129,99,0.7674,2,64.5,0.1162790698,0.04651162791,0.1240310078,57,4.3225
“The Love Song of J. Alfred Prufrock” by T.S. Eliot,Love_prufrock.txt,poetry,11,CCS,1096,480,0.4379,46,23.826,0.09580291971,0.02645985401,0.09580291971,95,4.3317
"“The Love Song of J. Alfred Prufrock,” by T.S. Eliot",Love_prufrock.txt,poetry,12,ALB,1096,480,0.4379,46,23.826,0.09580291971,0.02645985401,0.09580291971,95,4.3317
“The Sot-Weed Factor” by Ebenezer Cooke,Sot_weed.txt,poetry,11,CCS,4398,1744,0.3965,99,44.4242,0.1180081855,0.02205547976,0.1148249204,147,4.3381
“The Silent Slain” by Archibald MacLeish,Silent_slain.txt,poetry,11,CCS,97,68,0.701,2,48.5,0.206185567,0.01030927835,0.1237113402,30,4.3414
Sonnet 30 by William Shakespeare,Sonnet_30.txt,poetry,12,CCS,116,89,0.7672,3,38.6666,0.1551724138,0.05172413793,0.1120689655,41,4.3691
“Dover Beach” by Matthew Arnold,Dover_beach.txt,poetry,12,CCS,261,176,0.6743,10,26.1,0.1724137931,0.01149425287,0.1417624521,54,4.4176
“The Sound of the Sea” by Henry Wadsworth Longfellow,Sound_sea.txt,poetry,9,CCS,102,76,0.7451,2,51,0.137254902,0.01960784314,0.1862745098,69,4.4687
"“A Modest Proposal,” by Jonathan Swift",Modest_proposal.txt,prose,11,ALB,3392,1102,0.3248,67,50.6268,0.1450471698,0.03154481132,0.1341391509,133,4.4716
"“The Lime-tree Bower my Prison,” by Samuel Taylor Coleridge",Lime_tree.txt,poetry,12,ALB,595,374,0.6285,21,28.3333,0.2084033613,0.02857142857,0.1411764706,110,4.4772
“Ode on a Grecian Urn” by John Keats,Ode_urn.txt,poetry,12,CCS,369,242,0.6558,18,20.5,0.1869918699,0.0108401084,0.1056910569,110,4.5183
“Song of Myself” by Walt Whitman,Song_myself.txt,poetry,11,CCS,15831,5136,0.3244,525,30.191945,0.1162,0.0151,0.1198,482,4.5473
“Annabel Lee” by Edgar Allan Poe,Annabel_lee.txt,poetry,11,CCS,300,129,0.43,7,42.8571,0.1033333333,0.02,0.1533333333,62,4.5473
“Goblin Market” by Christina Rossetti,Goblin_market.txt,poetry,12,CCS,2958,1158,0.3914,93,31.8064,0.1108857336,0.01690331305,0.1169709263,200,4.5637
"“Please Don’t Take My Air Jordans,” by Reg E. Gaines",Please_dont_take.txt,poetry,10,ALB,480,267,0.5562,18,26.6666,0.1354166667,0.02291666667,0.0625,129,4.5709
“The Piazza” by Herman Melville,Piazza.txt,prose,11,CCS,5303,1689,0.3184,222,23.8873,0.1599094852,0.03186875354,0.1204978314,232,4.5865
"“Wings,” by Macklemore and Ryan Lewis",Wings.txt,poetry,10,ALB,591,252,0.4263,7,84.4285,0.09137055838,0.01353637902,0.06937394247,160,4.6104
“The Old Oaken Bucket” by Samuel Woodworth,Oaken_bucket.txt,poetry,11,CCS,266,143,0.5375,8,33.25,0.1052631579,0.03383458647,0.1165413534,78,4.6169
"“To This Day,” by Shane Koyczan",To_this_day.txt,poetry,9,ALB,1202,539,0.4484,24,50.0833,0.09900166389,0.04742096506,0.09484193012,321,4.7535
"“To the Censorious Ones,” by Anne Waldman",Censorious.txt,poetry,11,ALB,180,105,0.5833,2,90,0.1277777778,0.005555555556,0.1611111111,100,4.7966
“Tintern Abbey” by William Wordsworth,Tintern_abbey.txt,poetry,12,CCS,1222,555,0.4541,30,40.7333,0.1505728314,0.03027823241,0.1350245499,123,4.8043
Sonnet 143 by William Shakespeare,Sonnet_143.txt,poetry,12,CCS,117,85,0.7264,1,117,0.1196581197,0.05128205128,0.07692307692,125,4.8092
“A Bird came down the Walk” by Emily Dickinson,Bird_walk.txt,poetry,11,CCS,108,87,0.8055,2,54,0.09259259259,0.01851851852,0.1018518519,99,4.8881
“When Lilacs Last in the Dooryard Bloom’d” by Walt Whitman,Lilacs_bloomd.txt,poetry,11,CCS,2157,728,0.3375,69,31.2608,0.1154381085,0.01854427446,0.1423273064,158,4.889
“Ode to Intimations to Immortality” by William Wordsworth,Ode_intimations.txt,poetry,12,CCS,1389,650,0.4679,31,44.8064,0.1231101512,0.02231821454,0.117350612,138,4.9978
Sonnet 29  by William Shakespeare,Sonnet_29.txt,poetry,12,CCS,114,86,0.7543,2,57,0.1140350877,0.02631578947,0.1666666667,75,5.2328
“Dreamers” by Siegfried Sassoon,Dreamers.txt,poetry,12,CCS,110,81,0.7363,5,22,0.06363636364,0.009090909091,0.1545454545,63,5.3624
"“The World Below the Brine,” by Walt Whitman",World_brine.txt,poetry,11,ALB,160,108,0.675,1,160,0.15625,0.0125,0.1125,139,6.7051
“I Hear America Singing” by Walt Whitman,Hear_america.txt,poetry,11,CCS,155,84,0.5419,1,155,0.07741935484,0.03225806452,0.135483871,189,7.2146
"“The Sound of Silence,” by Simon and Garfunkel",Sound_silence.txt,poetry,10,ALB,216,132,0.6111,1,216,0.06481481481,0.01388888889,0.1203703704,208,7.2213
"“If,” by Rudyard Kipling",If.txt,poetry,11,ALB,289,160,0.5536,2,144.5,0.06574394464,0.06228373702,0.1003460208,194,8.8027